var,len,start,description
CCAA,2,1,"Comunidad Autónoma de residencia"
IDENTHOGAR,8,3,"Número de identificación del hogar: Sección + Vivienda + Hogar"
ESTRATO,1,11,"Estrato al que pertenece el hogar (por tamaño de municipio)"
SEXO_i,1,12,"Sexo"
EDAD_i,3,13,"Edad"
NORDEN_Ai,2,16,"Número de orden de los adultos del hogar"
NORDEN_Mi,2,18,"Número de orden de los menores del hogar"
NADULTOS,2,20,"Número de adultos en el hogar"
NMENORES,2,22,"Número de menores en el hogar"
A7_1_i,1,24,"Persona de referencia (P.R.)"
NORDEN_Pref,2,25,"Número de orden de la persona de referencia"
A7_2,2,27,"Número de orden del adulto seleccionado"
A8_1_i,1,29,"Adulto seleccionado (A.S.)"
A8_2_i,2,30,"Relación con el adulto seleccionado"
NORINF,2,32,"Número de orden del informante del Cuestionario de Hogar"
A9_otra,1,34,"Otra persona: Relación con el hogar del informante del Cuestionario de Hogar (código)"
A10_i,2,35,"Nivel de estudios"
A11_i,1,37,"Situación laboral actual"
A12,1,38,"Tipo de hogar"
B13,1,39,"Persona de referencia jubilado o incapacitado: ¿Percibe pensión contributiva?"
B14,1,40,"Persona de referencia jubilado o incapacitado: ¿Ha trabajado antes?"
B15_2,3,41,"Persona que generó la pensión: Actividad de la empresa en la que trabajó (código CNAE2009, 3 dígitos)"
B16_2,3,44,"Persona que generó la pensión: Ocupación, profesión u oficio (código CNO2011, 3 dígitos)"
B17,1,47,"Persona que generó la pensión: Situación profesional en la ocupación que desempeñó"
B18,1,48,"Persona de referencia: ¿Ha trabajado alguna vez?"
B19a_2,3,49,"Persona de referencia: Actividad de la empresa en la que trabaja (código CNAE2009, 3 dígitos)"
B19b_2,3,52,"Persona de referencia: Actividad de la empresa en la que trabajó (código CNAE2009, 3 dígitos)"
B20a_2,3,55,"Persona de referencia: Ocupación, profesión u oficio actual (código CNO2011, 3 dígitos)"
B20b_2,3,58,"Persona de referencia: Última ocupación, profesión u oficio (código CNO2011, 3 dígitos)"
B21a,1,61,"Persona de referencia: Situación profesional que desempeña en su empleo"
B21b,1,62,"Persona de referencia: Situación profesional que desempeñó en su último empleo"
FACTORHOGAR,8,63,"Factor de elevación del hogar (5 enteros, 3 decimales)"
CLASE_PR,1,71,"Variable derivada: Clase social basada en la ocupación de la persona de referencia"
D23_1,1,72,"Tipo de ingresos: Ingresos del trabajo (por cuenta propia o ajena)"
D23_2,1,73,"Tipo de ingresos: Prestación y subsidios por desempleo"
D23_3,1,74,"Tipo de ingresos: Pensión por jubilación o viudedad"
D23_4,1,75,"Tipo de ingresos: Pensión por invalidez o incapacidad"
D23_5,1,76,"Tipo de ingresos: Prestaciones económicas por hijo a cargo, ayudas a la familia..."
D23_6,1,77,"Tipo de ingresos: Prestaciones o subvenciones relacionadas con la vivienda"
D23_7,1,78,"Tipo de ingresos: Prestaciones o subvenciones relacionadas con la educación"
D23_8,1,79,"Tipo de ingresos: Otros ingresos regulares / Otro subsidio o prestación social regular"
D23_9,1,80,"Tipo de ingresos: Ninguna fuente de ingreso"
D23_10,1,81,"Tipo de ingresos: No sabe"
D23_11,1,82,"Tipo de ingresos: No contesta"
D24,1,83,"Principal tipo de ingreso"
D26,2,84,"Ingreso mensual neto: intervalo"
