var,len,start,description
CCAA,2,1,"Comunidad Autónoma de residencia"
IDENTHOGAR,8,3,"Número de identificación del hogar: Sección + Vivienda + Hogar"
ESTRATO,1,11,"Estrato al que pertenece el hogar (por tamaño de municipio)"
SEXO_i,1,12,"Sexo"
EDAD_i,3,13,"Edad"
NORDEN_Ai,2,16,"Número de orden de los adultos del hogar"
NORDEN_Mi,2,18,"Número de orden de los menores del hogar"
NADULTOS,2,20,"Número de adultos en el hogar"
NMENORES,2,22,"Número de menores en el hogar"
A7_1_i,1,24,"Persona de referencia (P.R.)"
NORDEN_Pref,2,25,"Número de orden de la persona de referencia"
A7_2a,2,27,"Número de orden del adulto seleccionado"
A7_2m,2,29,"Número de orden del menor seleccionado"
A8_1_i,1,31,"Adulto seleccionado (A.S.)"
A8_2_i,2,32,"Relación con el adulto seleccionado"
NORINF,2,34,"Número de orden del informante del Cuestionario de Hogar"
A9_otra,1,36,"Otra persona: Relación con el hogar del informante del Cuestionario de Hogar (código)"
A10_i,2,37,"Nivel de estudios"
A11_i,1,39,"Situación laboral actual"
A12,1,40,"Tipo de hogar"
B13,1,41,"Persona de referencia: ¿Percibe pensión contributiva?"
B14,1,42,"Persona de referencia: ¿Ha trabajado antes?"
B15_2,3,43,"Persona que generó la pensión: Actividad de la empresa en la que trabajó (código CNAE2009, 3 dígitos)"
B16_2,3,46,"Persona que generó la pensión: Ocupación, profesión u oficio (código CNO2011, 3 dígitos)"
B17,1,49,"Persona que generó la pensión: Situación profesional en la ocupación que desempeñó"
B18,1,50,"Persona de referencia: ¿Ha trabajado alguna vez?"
B19a_2,3,51,"Persona de referencia: Actividad de la empresa en la que trabaja (código CNAE2009, 3 dígitos)"
B19b_2,3,54,"Persona de referencia: Actividad de la empresa en la que trabajó (código CNAE2009, 3 dígitos)"
B20a_2,3,57,"Persona de referencia: Ocupación, profesión u oficio actual (código CNO2011, 3 dígitos)"
B20b_2,3,60,"Persona de referencia: Última ocupación, profesión u oficio (código CNO2011, 3 dígitos)"
B21a,1,63,"Persona de referencia: Situación profesional que desempeña en su empleo"
B21b,1,64,"Persona de referencia: Situación profesional que desempeñó en su último empleo"
C22,2,65,"Nº de dormitorios en el hogar"
C23,3,67,"Metros cuadrados útiles disponibles en el hogar, aproximadamente"
C24_1,1,70,"Problemas en el entorno de su vivienda: ruido procedente del exterior"
C24_2,1,71,"Problemas en el entorno de su vivienda: malos procedentes del exterior"
C24_3,1,72,"Problemas en el entorno de su vivienda: agua de consumo de mala calidad"
C24_4,1,73,"Problemas en el entorno de su vivienda: poca limpieza en las calles"
C24_5,1,74,"Problemas en el entorno de su vivienda: contaminación del aire elevada por industria cercana"
C24_6,1,75,"Problemas en el entorno de su vivienda: contaminación del aire elevada por otras causas"
C24_7,1,76,"Problemas en el entorno de su vivienda: escasez de zonas verdes"
C24_8,1,77,"Problemas en el entorno de su vivienda: presencia de animales que causan importantes molestias"
C24_9,1,78,"Problemas en el entorno de su vivienda: Delincuencia, violencia o vandalismo"
D26_1,1,79,"Tipo de ingresos: Ingresos del trabajo (por cuenta propia o ajena)"
D26_2,1,80,"Tipo de ingresos: Prestación y subsidios por desempleo"
D26_3,1,81,"Tipo de ingresos: Pensión por jubilación o viudedad"
D26_4,1,82,"Tipo de ingresos: Pensión por invalidez o incapacidad"
D26_5,1,83,"Tipo de ingresos: Prestaciones económicas por hijo a cargo, ayudas a la familia..."
D26_6,1,84,"Tipo de ingresos: Prestaciones o subvenciones relacionadas con la vivienda"
D26_7,1,85,"Tipo de ingresos: Prestaciones o subvenciones relacionadas con la educación"
D26_8,1,86,"Tipo de ingresos: Otros ingresos regulares / Otro subsidio o prestación social regular"
D26_9,1,87,"Tipo de ingresos: Ninguna fuente de ingreso"
D26_10,1,88,"Tipo de ingresos: No sabe"
D26_11,1,89,"Tipo de ingresos: No contesta"
D27,1,90,"Principal tipo de ingreso"
D29,2,91,"Ingreso mensual neto: intervalo"
FACTORHOGAR,11,93,"Factor de elevación del hogar ( 4 decimales)"
CLASE_PR,1,104,"Variable derivada: Clase social basada en la ocupación de la persona de referencia"
