var,len,start,description
CCAA,2,1,"Comunidad Autónoma de residencia"
IDENTHOGAR,8,3,"Número de identificación del hogar: sección + vivienda + hogar"
A7_2a,2,11,"Número de orden del adulto seleccionado"
SEXOa,1,13,"Identificación del adulto seleccionado: Sexo"
EDADa,3,14,"Identificación del adulto seleccionado: Edad"
PROXY_0,1,17,"¿El informante es la persona seleccionada?"
PROXY_1,1,18,"Informante proxy: ¿Cuál es el motivo por el que la persona seleccionada no facilita sus datos?"
PROXY_2,1,19,"Informante proxy: ¿Es miembro del hogar el informante?"
PROXY_2b,2,20,"Informante proxy: Número de orden del miembro del hogar"
PROXY_3b,1,22,"Informante proxy: Sexo del informante"
PROXY_4,3,23,"Informante proxy: Edad del informante"
PROXY_5,1,26,"Informante proxy: Relación del informante con el adulto seleccionado"
E1_1,1,27,"País de nacimiento"
E2_1a,1,28,"Nacionalidad: Española"
E2_1b,1,29,"Nacionalidad: Extranjera"
E2_1c,1,30,"Nacionalidad: No sabe"
E2_1d,1,31,"Nacionalidad: No contesta"
E3,2,32,"Años residiendo en España"
E4,1,34,"Convivencia en pareja"
E4b,1,35,"Estado civil"
ESTUDIOS,2,36,"Nivel de estudios del adulto seleccionado"
F6,1,38,"Adulto seleccionado: ¿Percibe pensión contributiva?"
F7,1,39,"Adulto seleccionado: ¿Ha trabajado antes?"
F8_2,3,40,"Persona que generó la pensión: Actividad de la empresa en la que trabajó (código CNAE2009, 3 dígitos)"
F9_2,3,43,"Persona que generó la pensión: Ocupación, profesión u oficio (código CNO2011, 3 dígitos)"
F10,1,46,"Persona que generó la pensión: Situación profesional en la ocupación que desempeñó"
F11,1,47,"Adulto seleccionado: Tiempo que lleva desempleado"
F12,1,48,"Adulto seleccionado: ¿Ha trabajado antes?"
F13,2,49,"Adulto seleccionado: Tipo de contrato o relación laboral"
F14a,1,51,"Adulto seleccionado: Duración del contrato"
F14b,1,52,"Adulto seleccionado: Duración de la relación laboral"
F15,1,53,"Adulto seleccionado: Número de trabajadores a su cargo"
F16,1,54,"Adulto seleccionado: Trabajo a tiempo completo / tiempo parcial"
F17,2,55,"Adulto seleccionado: Tipo de jornada en su trabajo principal actual"
F18a_2,3,57,"Adulto seleccionado: Actividad de la empresa en la que trabaja (código CNAE2009, 3 dígitos)"
F18b_2,3,60,"Adulto seleccionado: Actividad de la empresa en la que trabajó (código CNAE2009, 3 dígitos)"
F19a_2,3,63,"Adulto seleccionado: Ocupación, profesión u oficio actual (código CNO2011, 3 dígitos)"
F19b_2,3,66,"Adulto seleccionado: Última ocupación, profesión u oficio (código CNO2011, 3 dígitos)"
F20,1,69,"Adulto seleccionado: Situación profesional que desempeñó en su último empleo"
G21,1,70,"Estado de salud percibido en los últimos 12 meses"
G22,1,71,"Enfermedad o problema de salud crónicos o de larga duración"
G23,1,72,"Grado de limitación durante al menos 6 meses por un problema de salud"
G24,1,73,"Tipo de problema que causa la dificultad"
G25a_1,1,74,"Ha padecido alguna vez: Tensión alta"
G25b_1,1,75,"Ha padecido en los últimos 12 meses: Tensión alta"
G25c_1,1,76,"Diagnóstico médico: Tensión alta"
G25a_2,1,77,"Ha padecido alguna vez: Infarto de miocardio"
G25b_2,1,78,"Ha padecido en los últimos 12 meses: Infarto de miocardio"
G25c_2,1,79,"Diagnóstico médico: Infarto de miocardio"
G25a_3,1,80,"Ha padecido alguna vez: Angina de pecho, enfermedad coronaria"
G25b_3,1,81,"Ha padecido en los últimos 12 meses: Angina de pecho, enfermedad coronaria"
G25c_3,1,82,"Diagnóstico médico: Angina de pecho, enfermedad coronaria"
G25a_4,1,83,"Ha padecido alguna vez: Otras enfermedades del corazón"
G25b_4,1,84,"Ha padecido en los últimos 12 meses: Otras enfermedades del corazón"
G25c_4,1,85,"Diagnóstico médico: Otras enfermedades del corazón"
G25a_5,1,86,"Ha padecido alguna vez: Varices en las piernas"
G25b_5,1,87,"Ha padecido en los últimos 12 meses: Varices en las piernas"
G25c_5,1,88,"Diagnóstico médico: Varices en las piernas"
G25a_6,1,89,"Ha padecido alguna vez: Artrosis (excluyendo artritis)"
G25b_6,1,90,"Ha padecido en los últimos 12 meses: Artrosis (excluyendo artritis)"
G25c_6,1,91,"Diagnóstico médico: Artrosis (excluyendo artritis)"
G25a_7,1,92,"Ha padecido alguna vez: Dolor de espalda crónico (cervical)"
G25b_7,1,93,"Ha padecido en los últimos 12 meses: Dolor de espalda crónico (cervical)"
G25c_7,1,94,"Diagnóstico médico: Dolor de espalda crónico (cervical)"
G25a_8,1,95,"Ha padecido alguna vez: Dolor de espalda crónico (lumbar)"
G25b_8,1,96,"Ha padecido en los últimos 12 meses: Dolor de espalda crónico (lumbar)"
G25c_8,1,97,"Diagnóstico médico: Dolor de espalda crónico (lumbar)"
G25a_9,1,98,"Ha padecido alguna vez: Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida)"
G25b_9,1,99,"Ha padecido en los últimos 12 meses: Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida)"
G25c_9,1,100,"Diagnóstico médico: Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida)"
G25a_10,1,101,"Ha padecido alguna vez: Asma (incluida asma alérgica)"
G25b_10,1,102,"Ha padecido en los últimos 12 meses: Asma (incluida asma alérgica)"
G25c_10,1,103,"Diagnóstico médico: Asma (incluida asma alérgica)"
G25a_11,1,104,"Ha padecido alguna vez: Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC)"
G25b_11,1,105,"Ha padecido en los últimos 12 meses: Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC)"
G25c_11,1,106,"Diagnóstico médico: Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC)"
G25a_12,1,107,"Ha padecido alguna vez: Diabetes"
G25b_12,1,108,"Ha padecido en los últimos 12 meses: Diabetes"
G25c_12,1,109,"Diagnóstico médico: Diabetes"
G25a_13,1,110,"Ha padecido alguna vez: Úlcera de estómago o duodeno"
G25b_13,1,111,"Ha padecido en los últimos 12 meses: Úlcera de estómago o duodeno"
G25c_13,1,112,"Diagnóstico médico: Úlcera de estómago o duodeno"
G25a_14,1,113,"Ha padecido alguna vez: Incontinencia urinaria o problemas de control de la orina"
G25b_14,1,114,"Ha padecido en los últimos 12 meses: Incontinencia urinaria o problemas de control de la orina"
G25c_14,1,115,"Diagnóstico médico: Incontinencia urinaria o problemas de control de la orina"
G25a_15,1,116,"Ha padecido alguna vez: Colesterol alto"
G25b_15,1,117,"Ha padecido en los últimos 12 meses: Colesterol alto"
G25c_15,1,118,"Diagnóstico médico: Colesterol alto"
G25a_16,1,119,"Ha padecido alguna vez: Cataratas"
G25b_16,1,120,"Ha padecido en los últimos 12 meses: Cataratas"
G25c_16,1,121,"Diagnóstico médico: Cataratas"
G25a_17,1,122,"Ha padecido alguna vez: Problemas crónicos de piel"
G25b_17,1,123,"Ha padecido en los últimos 12 meses: Problemas crónicos de piel"
G25c_17,1,124,"Diagnóstico médico: Problemas crónicos de piel"
G25a_18,1,125,"Ha padecido alguna vez: Estreñimiento crónico"
G25b_18,1,126,"Ha padecido en los últimos 12 meses: Estreñimiento crónico"
G25c_18,1,127,"Diagnóstico médico: Estreñimiento crónico"
G25a_19,1,128,"Ha padecido alguna vez: Cirrosis, disfunción hepática"
G25b_19,1,129,"Ha padecido en los últimos 12 meses: Cirrosis, disfunción hepática"
G25c_19,1,130,"Diagnóstico médico: Cirrosis, disfunción hepática"
G25a_20,1,131,"Ha padecido alguna vez: Depresión"
G25b_20,1,132,"Ha padecido en los últimos 12 meses: Depresión"
G25c_20,1,133,"Diagnóstico médico: Depresión"
G25a_21,1,134,"Ha padecido alguna vez: Ansiedad crónica "
G25b_21,1,135,"Ha padecido en los últimos 12 meses: Ansiedad crónica "
G25c_21,1,136,"Diagnóstico médico: Ansiedad crónica "
G25a_22,1,137,"Ha padecido alguna vez: Otros problemas mentales"
G25b_22,1,138,"Ha padecido en los últimos 12 meses: Otros problemas mentales"
G25c_22,1,139,"Diagnóstico médico: Otros problemas mentales"
G25a_23,1,140,"Ha padecido alguna vez: Ictus (embolia, infarto cerebral, hemorragia cerebral)"
G25b_23,1,141,"Ha padecido en los últimos 12 meses: Ictus (embolia, infarto cerebral, hemorragia cerebral)"
G25c_23,1,142,"Diagnóstico médico: Ictus (embolia, infarto cerebral, hemorragia cerebral)"
G25a_24,1,143,"Ha padecido alguna vez: Migraña o dolor de cabeza frecuente"
G25b_24,1,144,"Ha padecido en los últimos 12 meses: Migraña o dolor de cabeza frecuente"
G25c_24,1,145,"Diagnóstico médico: Migraña o dolor de cabeza frecuente"
G25a_25,1,146,"Ha padecido alguna vez: Hemorroides"
G25b_25,1,147,"Ha padecido en los últimos 12 meses: Hemorroides"
G25c_25,1,148,"Diagnóstico médico: Hemorroides"
G25a_26,1,149,"Ha padecido alguna vez: Tumores malignos"
G25b_26,1,150,"Ha padecido en los últimos 12 meses: Tumores malignos"
G25c_26,1,151,"Diagnóstico médico: Tumores malignos"
G25a_27,1,152,"Ha padecido alguna vez: Osteoporosis"
G25b_27,1,153,"Ha padecido en los últimos 12 meses: Osteoporosis"
G25c_27,1,154,"Diagnóstico médico: Osteoporosis"
G25a_28,1,155,"Ha padecido alguna vez: Problemas de tiroides"
G25b_28,1,156,"Ha padecido en los últimos 12 meses: Problemas de tiroides"
G25c_28,1,157,"Diagnóstico médico: Problemas de tiroides"
G25a_29,1,158,"Ha padecido alguna vez: Problemas de riñón"
G25b_29,1,159,"Ha padecido en los últimos 12 meses: Problemas de riñón"
G25c_29,1,160,"Diagnóstico médico: Problemas de riñón"
G25a_30,1,161,"Ha padecido alguna vez: Problemas de próstata (solo hombres)"
G25b_30,1,162,"Ha padecido en los últimos 12 meses: Problemas de próstata (solo hombres)"
G25c_30,1,163,"Diagnóstico médico: Problemas de próstata (solo hombres)"
G25a_31,1,164,"Ha padecido alguna vez: Problemas del periodo menopáusico (solo mujeres)"
G25b_31,1,165,"Ha padecido en los últimos 12 meses: Problemas del periodo menopáusico (solo mujeres)"
G25c_31,1,166,"Diagnóstico médico: Problemas del periodo menopáusico (solo mujeres)"
G25a_32,1,167,"Ha padecido alguna vez: Lesiones o defectos permanentes causados por un accidente"
G25b_32,1,168,"Ha padecido en los últimos 12 meses: Lesiones o defectos permanentes causados por un accidente"
G25c_32,1,169,"Diagnóstico médico: Lesiones o defectos permanentes causados por un accidente"
H26_1,1,170,"Ha tenido en los últimos 12 meses: Accidente de tráfico"
H26_2,1,171,"Ha tenido en los últimos 12 meses: Accidente en casa"
H26_3,1,172,"Ha tenido en los últimos 12 meses: Accidente durante su tiempo libre"
H27,1,173,"Intervención sanitaria debida al accidente más grave"
I28_1,1,174,"Restricción de la actividad habitual en las últimas dos semanas"
I28_2,2,175,"Número de días de restricción de la actividad habitual"
I29_1,1,177,"Permanencia en cama en las últimas dos semanas"
I29_2,2,178,"Número de días de permanencia en cama"
J30,1,180,"Ausencias del trabajo en los últimos 12 meses por problemas de salud"
J31,3,181,"Número de días de ausencia del trabajo en los últimos 12 meses"
K32,1,184,"¿Utiliza gafas o lentillas?"
K33,1,185,"Dificultad para ver (doble enunciado)"
K34,1,186,"¿Utiliza audífono?"
K35,1,187,"Dificultad para oir en un sitio tranquilo (doble enunciado)"
K36,1,188,"Dificultad para oir en un sitio más ruidoso (doble enunciado)"
K37,1,189,"Dificultad para caminar 500 metros sin ayuda"
K38,1,190,"Dificultad para subir o bajar 12 escalones"
L39_1,1,191,"Dificultad para actividades básicas diarias: Alimentarse sin ayuda"
L39_2,1,192,"Dificultad para actividades básicas diarias: Sentarse, levantarse de una silla o de una cama, acostarse sin ayuda"
L39_3,1,193,"Dificultad para actividades básicas diarias: Vestirse y desvestirse sin ayuda"
L39_4,1,194,"Dificultad para actividades básicas diarias: Ir al servicio sin ayuda"
L39_5,1,195,"Dificultad para actividades básicas diarias: Ducharse o bañarse sin ayuda"
L40,1,196,"¿Dispone habitualmente de ayuda para realizarlas?"
L41,1,197,"¿Necesitaría ayuda o más ayuda de la que dispone? (doble enunciado)"
L42_1,1,198,"Dificultad para actividades relacionadas con el hogar: Preparar las comidas sin ayuda"
L42_2,1,199,"Dificultad para actividades relacionadas con el hogar: Utilizar el teléfono sin ayuda"
L42_3,1,200,"Dificultad para actividades relacionadas con el hogar: Realizar compras sin ayuda"
L42_4,1,201,"Dificultad para actividades relacionadas con el hogar: Tomar sus medicamentos sin ayuda"
L42_5,1,202,"Dificultad para actividades relacionadas con el hogar: Realizar tareas domésticas ligeras sin ayuda"
L42_6,1,203,"Dificultad para actividades relacionadas con el hogar: Realizar ocasionalmente tareas domésticas que requieren un gran esfuerzo sin ayuda"
L42_7,1,204,"Dificultad para actividades relacionadas con el hogar: Administrar su propio dinero sin ayuda"
L43,1,205,"¿Dispone habitualmente de ayuda para realizarlas?"
L44,1,206,"¿Necesitaría ayuda o más ayuda de la que dispone? (doble enunciado)"
L45,1,207,"Grado de dolor padecido durante las últimas 4 semanas"
L46,1,208,"¿Hasta qué punto el dolor afectó a sus actividades cotidianas?"
N48,1,209,"Tiempo desde la última consulta al médico general o de familia"
N49,2,210,"Número de consultas a un médico general o de familia en las cuatro últimas semanas"
N50,1,212,"Tiempo desde la última consulta a un médico especialista"
N51,2,213,"Número de consultas a un médico especialista en las cuatro últimas semanas"
N52,1,215,"Último médico consultado"
N53,2,216,"Lugar de la última consulta en estas cuatro semanas"
N54,1,218,"Motivo principal de esta última consulta"
N55_1,2,219,"Tiempo en meses desde estar enfermo hasta pedir cita en esta última consulta "
N55_2,2,221,"Tiempo en días desde estar enfermo hasta pedir cita en esta última consulta "
N55_3,2,223,"Tiempo en horas desde estar enfermo hasta pedir cita en esta última consulta "
N56_1,2,225,"Tiempo en meses desde que pidió cita hasta que fue atendido"
N56_2,2,227,"Tiempo en días desde que pidió cita hasta que fue atendido"
N56_3,2,229,"Tiempo en horas desde que pidió cita hasta que fue atendido"
N57,1,231,"Dependencia funcional del médico"
N58_1,1,232,"Visita durante los últimos 12 meses a: Fisioterapeuta"
N58_2,1,233,"Visita durante los últimos 12 meses a: Psicólogo, psicoterapeuta o psiquiatra"
N58_3,1,234,"Visita durante los últimos 12 meses a: Enfermero/a, matrona"
N58_4,1,235,"Visita durante los últimos 12 meses a: Centro o servicio de radiología"
N59,1,236,"Realización de análisis en los últimos 12 meses"
N60_1,1,237,"Pruebas durante los últimos 12 meses: Radiografía"
N60_2,1,238,"Pruebas durante los últimos 12 meses: TAC o escáner"
N60_3,1,239,"Pruebas durante los últimos 12 meses: Ecografía"
N60_4,1,240,"Pruebas durante los últimos 12 meses: Resonancia magnética"
N61_1,1,241,"Servicios asistenciales en los últimos 12 meses: Atención domiciliaria prestada por enfermero/a o matrona"
N61_2,1,242,"Servicios asistenciales en los últimos 12 meses: Ayuda domiciliaria para las tareas domésticas o para las personas mayores"
N61_3,1,243,"Servicios asistenciales en los últimos 12 meses: Comidas a domicilio para personas mayores"
N61_4,1,244,"Servicios asistenciales en los últimos 12 meses: Servicios especiales de transporte a domicilio"
N61_5,1,245,"Servicios asistenciales en los últimos 12 meses: Otros servicios de asistencia domiciliaria"
N62,1,246,"Tiempo desde la última consulta al dentista, estomatólogo o higienista dental"
