var,len,start,description
G25c_12,1,113,"Diagnóstico médico: Diabetes"
G25a_13,1,114,"Ha padecido alguna vez: Úlcera de estómago o duodeno"
G25b_13,1,115,"Ha padecido en los últimos 12 meses: Úlcera de estómago o duodeno"
G25c_13,1,116,"Diagnóstico médico: Úlcera de estómago o duodeno"
G25a_14,1,117,"Ha padecido alguna vez: Incontinencia urinaria o problemas de control de la orina"
G25b_14,1,118,"Ha padecido en los últimos 12 meses: Incontinencia urinaria o problemas de control de la orina"
G25c_14,1,119,"Diagnóstico médico: Incontinencia urinaria o problemas de control de la orina"
G25a_15,1,120,"Ha padecido alguna vez: Colesterol alto"
G25b_15,1,121,"Ha padecido en los últimos 12 meses: Colesterol alto"
G25c_15,1,122,"Diagnóstico médico: Colesterol alto"
G25a_16,1,123,"Ha padecido alguna vez: Cataratas"
G25b_16,1,124,"Ha padecido en los últimos 12 meses: Cataratas"
G25c_16,1,125,"Diagnóstico médico: Cataratas"
G25a_17,1,126,"Ha padecido alguna vez: Problemas crónicos de piel"
G25b_17,1,127,"Ha padecido en los últimos 12 meses: Problemas crónicos de piel"
G25c_17,1,128,"Diagnóstico médico: Problemas crónicos de piel"
G25a_18,1,129,"Ha padecido alguna vez: Estreñimiento crónico"
G25b_18,1,130,"Ha padecido en los últimos 12 meses: Estreñimiento crónico"
G25c_18,1,131,"Diagnóstico médico: Estreñimiento crónico"
G25a_19,1,132,"Ha padecido alguna vez: Cirrosis, disfunción hepática"
G25b_19,1,133,"Ha padecido en los últimos 12 meses: Cirrosis, disfunción hepática"
G25c_19,1,134,"Diagnóstico médico: Cirrosis, disfunción hepática"
G25a_20,1,135,"Ha padecido alguna vez: Depresión"
G25b_20,1,136,"Ha padecido en los últimos 12 meses: Depresión"
G25c_20,1,137,"Diagnóstico médico: Depresión"
G25a_21,1,138,"Ha padecido alguna vez: Ansiedad crónica"
G25b_21,1,139,"Ha padecido en los últimos 12 meses: Ansiedad crónica"
G25c_21,1,140,"Diagnóstico médico: Ansiedad crónica"
G25a_22,1,141,"Ha padecido alguna vez: Otros problemas mentales"
G25b_22,1,142,"Ha padecido en los últimos 12 meses: Otros problemas mentales"
G25c_22,1,143,"Diagnóstico médico: Otros problemas mentales"
G25a_23,1,144,"Ha padecido alguna vez: Ictus (embolia, infarto cerebral, hemorragia cerebral)"
G25b_23,1,145,"Ha padecido en los últimos 12 meses: Ictus (embolia, infarto cerebral, hemorragia cerebral)"
G25c_23,1,146,"Diagnóstico médico: Ictus (embolia, infarto cerebral, hemorragia cerebral)"
G25d_23,1,147,"Secuelas: Ictus (embolia, infarto cerebral, hemorragia cerebral)"
G25a_24,1,148,"Ha padecido alguna vez: Migraña o dolor de cabeza frecuente"
G25b_24,1,149,"Ha padecido en los últimos 12 meses: Migraña o dolor de cabeza frecuente"
G25c_24,1,150,"Diagnóstico médico: Migraña o dolor de cabeza frecuente"
G25a_25,1,151,"Ha padecido alguna vez: Hemorroides"
G25b_25,1,152,"Ha padecido en los últimos 12 meses: Hemorroides"
G25c_25,1,153,"Diagnóstico médico: Hemorroides"
G25a_26,1,154,"Ha padecido alguna vez: Tumores malignos"
G25b_26,1,155,"Ha padecido en los últimos 12 meses: Tumores malignos"
G25c_26,1,156,"Diagnóstico médico: Tumores malignos"
G25a_27,1,157,"Ha padecido alguna vez: Osteoporosis"
G25b_27,1,158,"Ha padecido en los últimos 12 meses: Osteoporosis"
G25c_27,1,159,"Diagnóstico médico: Osteoporosis"
G25a_28,1,160,"Ha padecido alguna vez: Problemas de tiroides"
G25b_28,1,161,"Ha padecido en los últimos 12 meses: Problemas de tiroides"
G25c_28,1,162,"Diagnóstico médico: Problemas de tiroides"
G25a_29,1,163,"Ha padecido alguna vez: Problemas de riñón"
G25b_29,1,164,"Ha padecido en los últimos 12 meses: Problemas de riñón"
G25c_29,1,165,"Diagnóstico médico: Problemas de riñón"
G25a_30,1,166,"Ha padecido alguna vez: Problemas de próstata (solo hombres)"
G25b_30,1,167,"Ha padecido en los últimos 12 meses: Problemas de próstata (solo hombres)"
G25c_30,1,168,"Diagnóstico médico: Problemas de próstata (solo hombres)"
G25a_31,1,169,"Ha padecido alguna vez: Problemas del periodo menopáusico (solo mujeres)"
G25b_31,1,170,"Ha padecido en los últimos 12 meses: Problemas del periodo menopáusico (solo mujeres)"
G25c_31,1,171,"Diagnóstico médico: Problemas del periodo menopáusico (solo mujeres)"
G25a_32,1,172,"Ha padecido alguna vez: Lesiones o defectos permanentes causados por un accidente"
G25b_32,1,173,"Ha padecido en los últimos 12 meses: Lesiones o defectos permanentes causados por un accidente"
G25c_32,1,174,"Diagnóstico médico: Lesiones o defectos permanentes causados por un accidente"
H26_1,1,175,"Ha tenido en los últimos 12 meses: Accidente de tráfico"
H26_2,1,176,"Ha tenido en los últimos 12 meses: Accidente en casa"
H26_3,1,177,"Ha tenido en los últimos 12 meses: Accidente durante su tiempo libre"
H27,1,178,"Intervención sanitaria debida al accidente más grave"
J30,1,179,"Ausencias del trabajo en los últimos 12 meses por problemas de salud"
J31,3,180,"Número de días de ausencia del trabajo en los últimos 12 meses (001 al 366)"
K32,1,183,"¿Utiliza gafas o lentillas?"
K33,1,184,"Dificultad para ver (doble enunciado)"
K34,1,185,"¿Utiliza audífono?"
K35,1,186,"Dificultad para oir en un sitio tranquilo (doble enunciado)"
K36,1,187,"Dificultad para oir en un sitio más ruidoso (doble enunciado)"
K37,1,188,"Dificultad para caminar 500 metros sin ayuda"
K38,1,189,"Dificultad para subir o bajar 12 escalones"
K38a,1,190,"Dificultad para concentrarse"
K38b,1,191,"Dificultad para morder o masticar"
L39_1,1,192,"Dificultad para actividades básicas diarias: Alimentarse sin ayuda"
L39_2,1,193,"Dificultad para actividades básicas diarias: Sentarse, levantarse de una silla o de una cama, acostarse sin ayuda"
L39_3,1,194,"Dificultad para actividades básicas diarias: Vestirse y desvestirse sin ayuda"
L39_4,1,195,"Dificultad para actividades básicas diarias: Ir al servicio sin ayuda"
L39_5,1,196,"Dificultad para actividades básicas diarias: Ducharse o bañarse sin ayuda"
L40,1,197,"¿Dispone habitualmente de ayuda para realizarlas?"
L41,1,198,"¿Necesitaría ayuda o más ayuda de la que dispone? (doble enunciado)"
L42_1,1,199,"Dificultad para actividades relacionadas con el hogar: Preparar las comidas sin ayuda"
L42_2,1,200,"Dificultad para actividades relacionadas con el hogar: Utilizar el teléfono sin ayuda"
L42_3,1,201,"Dificultad para actividades relacionadas con el hogar: Realizar compras sin ayuda"
L42_4,1,202,"Dificultad para actividades relacionadas con el hogar: Tomar sus medicamentos sin ayuda"
L42_5,1,203,"Dificultad para actividades relacionadas con el hogar: Realizar tareas domésticas ligeras sin ayuda"
L42_6,1,204,"Dificultad para actividades relacionadas con el hogar: Realizar ocasionalmente tareas domésticas que requieren un gran esfuerzo sin ayuda"
L42_7,1,205,"Dificultad para actividades relacionadas con el hogar: Administrar su propio dinero sin ayuda"
L43,1,206,"¿Dispone habitualmente de ayuda para realizarlas?"
L44,1,207,"¿Necesitaría ayuda o más ayuda de la que dispone? (doble enunciado)"
L45,1,208,"Grado de dolor padecido durante las últimas 4 semanas"
L46,1,209,"¿Hasta qué punto el dolor afectó a sus actividades cotidianas?"
N48,1,210,"Tiempo desde la última consulta al médico general o de familia"
N49,2,211,"Número de consultas a un médico general o de familia en las cuatro últimas semanas 00 a 28"
N50,1,213,"Tiempo desde la última consulta a un médico especialista"
N51,2,214,"Número de consultas a un médico especialista en las cuatro últimas semanas 00 a 28"
N52,1,216,"Último médico consultado"
N53,2,217,"Lugar de la última consulta en estas cuatro semanas"
N54,1,219,"Motivo principal de esta última consulta"
N57,1,220,"Dependencia funcional del médico"
N58_1,1,221,"Visita durante los últimos 12 meses a: Fisioterapeuta"
N58_2,1,222,"Visita durante los últimos 12 meses a: Psicólogo, psicoterapeuta o psiquiatra"
N58_3,1,223,"Visita durante los últimos 12 meses a: Enfermero/a, matrona"
N59,1,224,"Realización de análisis en los últimos 12 meses"
N60_1,1,225,"Pruebas durante los últimos 12 meses: Radiografía"
N60_2,1,226,"Pruebas durante los últimos 12 meses: TAC o escáner"
N60_3,1,227,"Pruebas durante los últimos 12 meses: Ecografía"
N60_4,1,228,"Pruebas durante los últimos 12 meses: Resonancia magnética"
N60a_1,1,229,"Visitas durante los últimos 12 meses: Homeópata"
N60a_2,1,230,"Visitas durante los últimos 12 meses: Acupuntor"
N60a_3,1,231,"Visitas durante los últimos 12 meses: Naturista"
N60a_4,1,232,"Visitas durante los últimos 12 meses: Otro profesional de medicina alternativa (osteópata, quiropráctico...)"
N61_1,1,233,"Servicios asistenciales en los últimos 12 meses: Atención domiciliaria prestada por enfermero/a o matrona"
N61_2,1,234,"Servicios asistenciales en los últimos 12 meses: Ayuda domiciliaria para las tareas domésticas o para las personas mayores"
N61_3,1,235,"Servicios asistenciales en los últimos 12 meses: Comidas a domicilio para personas mayores"
N61_4,1,236,"Servicios asistenciales en los últimos 12 meses: Servicios especiales de transporte a domicilio"
N61_5,1,237,"Servicios asistenciales en los últimos 12 meses: Otros servicios de asistencia domiciliaria"
N62,1,238,"Tiempo desde la última consulta al dentista, estomatólogo o higienista dental"
N62b,2,239,"Nº de veces que visitó al dentista, estomatólogo o higienista dental en los últimos 3 meses"
N63_1,1,241,"Tipo de asistencia: Revisión o chequeo"
N63_2,1,242,"Tipo de asistencia: Limpieza de boca"
N63_3,1,243,"Tipo de asistencia: Empastes (obturaciones), endodoncias"
N63_4,1,244,"Tipo de asistencia: Extracción de algún diente/muela"
N63_5,1,245,"Tipo de asistencia: Fundas, puentes u otro tipo de prótesis"
N63_6,1,246,"Tipo de asistencia: Tratamiento de las enfermedades de las encías"
